27,"Utopia and its Discontents: The Kibbutz and its Historical Vicissitudes","Anthropology/Social/Cultural Anthropology/Culture/Human Nature and Culture           "
28,"The Rounding of the Earth: Ecology and Global History","History/Environmental History/Ideas and Thinkers/Theory           /           /GDAE/Environmental Policy and Sustainable Development"
29,"The Value Basis of Environmental Concern. (Green Justice: Conceptions of Fairness and the Natural World)","Sociology/Culture and Society/Ethics, Norms, and Values           "
30,"Confronting Anthropology, Education, and the Inner-city Apartheid","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
31,"Mapping Power: Disputing Claims to Kipat Lands in Northeastern Nepal","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
32,"Kuranda at War: Contested Space and the Politics of the Market Place","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
33,"Tahiti Intertwined: Ancestral Land, Tourist Postcard, and Nuclear Test Site","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
34,"The Memorialization of September 11: Dominant and Local Discourses on the Rebuilding of the World Trade Center Site","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
35,"Urban Kampongs in Ambon: Whose Domain? Whose Desa?","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
36,"The Burden of Heritage: Claiming a Place for a West Indian Culture","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
37,"Telling about Whites, Talking about Indians: Oppression, Resistance, and Contemporary American Indian Identity","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
38,"Global History: Historiographical Feasibility and Environmental Reality","History/World/Global History/Concept/Critique           "
39,"Freedom and Consequences","Sociology/Culture and Society/Ethics, Norms, and Values           "
40,"Making the Indian: Colonial Knowledge, Alcohol, and Native Americans","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
41,"Place Replaced: Colonial Nostalgia and Pied-Noir Pilgrimages to Malta","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
42,"Land, Water, and Truth: San Identity and Global Indigenism","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
43,"Traditions of Invention in Equatorial Africa","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Institutions           "
44,"Transforming Institutions among Pastoralists: Inequality and Land Privatization","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Institutions           "
45,"Development without Institutions: Ersatz Medicine and the Politics of Everyday Life in Rural North India","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Institutions           "
46,"Global History and the Third World","History/World/Global History/Concept/Definition           "
47,"Relational Narratives: Solving an Ethical Dilemma Concerning an Individual's Insurance Policy","Sociology/Culture and Society/Ethics, Norms, and Values           "
48,"Procession and Pilgrimage in Newar Religion","Anthropology/Social/Cultural Anthropology/Culture/Evolution of Culture           "
49,"The Culture Concept and the Mission of the Roman Catholic Church","Anthropology/Social/Cultural Anthropology/Religion           "
50,"On African Origins: Creolization and Connaissance in Haitian Vodou","Anthropology/Social/Cultural Anthropology/Culture/Evolution of Culture           "
51,"Jewish Ethnography and the Question of the Book","Anthropology/Methods and Approaches/Ethnological Approaches and Participant Observation           "
52,"Universal Aspects of Symbolic Healing: A Theoretical Synthesis","Anthropology/Social/Cultural Anthropology/Health and Medical Anthropology           "
53,"Market Magic: Getting Rich and Getting Personal in Medicine after Mao","Anthropology/Social/Cultural Anthropology/Health and Medical Anthropology           "
54,"Spiritual Aroma: Religion and Politics","Anthropology/Social/Cultural Anthropology/Religion           "
55,"Magical Misfortune in Locorotondo","Anthropology/Social/Cultural Anthropology/Ethics, Morality, and Culture           "
56,"Shifting Aims, Moving Targets: On the Anthropology of Religion","Anthropology/Social/Cultural Anthropology/Religion           "
57,"From Universal History to Global History","History/World/Global History/Concept/Definition           "
58,"Social Class and Adolescents' Beliefs About Justice in Different Social Orders","Sociology/Culture and Society/Ethics, Norms, and Values           "
59,"United and Divided: Christianity, Tradition and Identity in Two South Coast Papua New Guinea Villages","Anthropology/Social/Cultural Anthropology/Religion           "
60,"Civic Virtue and Religious Reason: An Islamic Counterpublic","Anthropology/Social/Cultural Anthropology/Religion           "
61,"Holy Cow! The Apotheosis of Zebu, or Why the Cow is Sacred in Hinduism","Anthropology/Methods and Approaches/Cultural Materialism           "
62,"Reflections on Tibet","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
63,"Metakinesis: How God becomes Intimate in Contemporary U.S. Christianity","Anthropology/Social/Cultural Anthropology/Religion           "
64,"Rival Empires: Islam and the Religions of Spirit Possession among the Oyo-Yoruba","Anthropology/Social/Cultural Anthropology/Religion           "
65,"Negotiating with Demons: The Uses of Magical Language","Anthropology/Language and Society/Language Representations and Usage           "
66,"Between Several Worlds: Images of Youth and Age in Tuareg Popular Performances","Anthropology/Social/Cultural Anthropology/Culture/Identity, Place, Culture           "
67,"God is Nothing but Talk: Modernity, Language, and Prayer in a Papua New Guinea Society","Anthropology/Social/Cultural Anthropology/Religion           "
68,"Impossible Gifts: Bodies, Buddhism and Bioethics in Contemporary Sri Lanka","Anthropology/Social/Cultural Anthropology/Ethics, Morality, and Culture           "
69,"Global History in a Postmodernist Era?","History/World/Global History/Concept/Critique           "
70,"On Resisting Resistance","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
71,"Fear of a Black Nation: Local Rappers, Transnational Crossings, and State Power in Contemporary Cuba","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
72,"Multipartyism and Nostaligia for the Unified Past: Discourses of Democracy in a Dance Association in Cameroon","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
73,"Nuriye's Dilemma: Turkish Lessons of Democracy and the Gendered State","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
74,"Cultural Policy through Public Display","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
75,"Rap, Race and Politics","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
76,"Good Muslim, Bad Muslim: A Political Perspective on Culture and Terrorism","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
77,"Austrifying Europe: Ultra-right Populism and the New Culture of Resistance","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
78,"Migration and Its Enemies","History/World/Global History/Migration/Causes/Consequences           "
79,"The Depleting Moral Legacy: The Moral Re-entry","Sociology/Culture and Society/Ethics, Norms, and Values           "
80,"Popular Culture as Oppositional Culture: Rap as Resistance","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
81,"The Sublime Dance of Mende Politics: An African Aesthetic of Charismatic Power","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
82,"Anthropology and Politics in Studies of National Character","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
83,"The Culture-conscious Brazilian Indian: Representing and Reworking Indianness in Kayabi Political Discourse","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
84,"The Largest Popular Culture Movement in the Western World: Intellectuals and Gaucho Traditionalism in Brazil","Anthropology/Social/Cultural Anthropology/Political Practices, Organization, and Structure/Politics, Power, and Culture           "
85,"The Father as Witch","Anthropology/Social/Cultural Anthropology/Colonization and PostColonialism           "
86,"White Settler Assertions of Native Status","Anthropology/Social/Cultural Anthropology/Colonization and PostColonialism           "
87,"Democratizing Dance: Institutional Transformation and Hegemonic Re-ordering in Postcolonial Jamaica","Anthropology/Social/Cultural Anthropology/Colonization and PostColonialism           "
88,"A Globalizing Economy: Some Implications and Consequences","History/Economic History/Globalization/International/Regional Economic Agreements           "
89,"Theories of Progress, Development, Evolution","Sociology/Culture and Society/Ethics, Norms, and Values           "
90,"Signs of Quality: Individualism and Hierarchy in American Culture","Anthropology/Social/Cultural Anthropology/Society, Civilization, and Culture           "
91,"Reconstructing Ethnicity","Anthropology/Social/Cultural Anthropology/Society, Civilization, and Culture           "
92,"Beyond Politics and Praxis: Educational Challenges in Contemporary Africa","Anthropology/Social/Cultural Anthropology/Society, Civilization, and Culture           "
93,"The Clash of Civilizations? Islamic Totalitarianism Constitutes an Ideological Threat, as Marxism-Leninism did during the Cold War","Anthropology/Social/Cultural Anthropology/Society, Civilization, and Culture           "
94,"Violent Politics and the Politics of Violence: The Dissolution of the Somali Nation-state","Anthropology/Social/Cultural Anthropology/War, Violence, and Hegemony/Violence and Aggression           "
95,"Global Violence and Indonesian Muslim Politics","Anthropology/Social/Cultural Anthropology/War, Violence, and Hegemony/Violence and Aggression           "
96,"Rumors and Politics in Haiti","Anthropology/Social/Cultural Anthropology/War, Violence, and Hegemony/Violence and Aggression           "
97,"Human Rights as Global Imperative","History/World/Global History/Political Institutions/United Nations           "
98,"Valuations, Beliefs and Opinions","Sociology/Culture and Society/Ethics, Norms, and Values           "
99,"An Interpretation and Defense of the Socialist Principle of Distribution","Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution           "
100,"On Economic Inequality","Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution           "
101,"On Deserving to Deserve","Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution           "
102,"Nationality, Distributive Justice and the Use of Force","Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution           "
103,"The Globalization of Music: Expanding Spheres of Influence","History/Social and Cultural History/Culture as Commodity           "
104,"Virtue Ethics and Social Work: Being Lucky, Realistic, and Not Doing Ones Duty","Sociology/Culture and Society/Ethics, Norms, and Values           "
105,"How Equality Matters","Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution           "
106,"Equality, Solidarity, and Rawls' Maximin","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
107,"Inequality, Incentives and Opportunity","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
108,"Rawls, Kant's Doctrine of Right, and Global Distributive Justice","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
109,"Equality, Incommensurability and Rights","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
110,"Why Justice Requires Transfers to Offset Income and Wealth Inequalities","Philosophy/Rights and Justice/Distributive Justice/Political Philosophy and Theories of Justice           "
111,"On the Prospect of Global History","History/World/Global History/Concept/Definition           "
112,"Values of Farmers, Sustainability and Agricultural Policy","Sociology/Culture and Society/Ethics, Norms, and Values           "
113,"Distributive Justice and Environmental Sustainability","Philosophy/Rights and Justice/Distributive Justice/Political Philosophy and Theories of Justice           "
114,"Bioethics in Tanzania: Legal and Ethical Concerns in Medical Care and Research in Relation to the HIV/Aids Epidemic","Philosophy/Rights and Justice/Distributive Justice/Political Philosophy and Theories of Justice           "
115,"Political Ideology, Perceived Threat, and Justice Towards Immigrants","Philosophy/Rights and Justice/International Justice/Global Issues           "
116,"Distributive Justice, State Coercion, and Autonomy","Philosophy/Rights and Justice/International Justice/Global Issues           "
117,"Review Article: International Liberalism and Distributive Justice: A Survey of Recent Thought","Philosophy/Rights and Justice/International Justice/Global Issues           "
118,"Global Interdependence and Distributive Justice","Philosophy/Rights and Justice/International Justice/Global Issues           "
119,"Reconstructing Colonialism: Graphic Layout and Design, and the Construction of Ideology","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
120,"Global Distributive Justice","Philosophy/Rights and Justice/International Justice/Global Issues           "
121,"Global Distributive Justice and the Corporate Duty to Aid","Philosophy/Rights and Justice/International Justice/Global Issues           "
122,"Distributive Justice and International Trade","Philosophy/Rights and Justice/Distributive Justice/Economic Structure and Distribution           "
123,"Distributive Justice as an International Public Good: A Historical Perspective","Philosophy/Rights and Justice/International Justice/Global Issues           "
124,"Does the Welfare State Help the Poor?","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
125,"Assisting the Global Poor","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
126,"Animal Emotion","Philosophy/The Environment/Environmental Ethics           "
127,"Are Animals Aware of What They Are Doing?","Philosophy/The Environment/Environmental Ethics           "
128,"Humans as Contrasted with, Humans as Included in the Class of Animals","Philosophy/The Environment/Environmental Ethics           "
129,"Deconstructing Cultural Pluralism","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
130,"Descartes on the Moral Status of Animals","Philosophy/The Environment/Environmental Ethics           "
131,"Animal Ethics and Interest Conflicts","Philosophy/The Environment/Environmental Ethics           "
132,"Environmental Ethics, Animal Welfarism, and the Problem of Predation: A Bambi Lover's Respect for Nature","Philosophy/The Environment/Environmental Ethics           "
133,"Beyond Welfare: Animal Integrity, Animal Dignity, and Genetic Engineering","Philosophy/The Environment/Environmental Ethics           "
134,"Ecology and Animals: Is There a Joint Ethic of Respect?","Philosophy/The Environment/Environmental Ethics           "
135,"The Ambiguity of Environmental Ethics: Duty or Heroism","Philosophy/The Environment/Environmental Ethics           "
136,"Environmental Justice","Philosophy/The Environment/Environmental Ethics           "
137,"Ethical Theory Versus Unethical Practice: Radiation Protection and Future Generations","Philosophy/The Environment/Environmental Ethics           "
138,"Exploring the Nexus: Bringing Together Sustainability, Environmental Justice and Equity","Philosophy/The Environment/Rights of Nature           "
139,"On the Back of Animals","Philosophy/The Environment/Rights of Nature           "
140,"The Environment, Rights and Future Generations","Philosophy/The Environment/Rights of Nature           "
141,"Environmental Ethics and Nonhuman Rights","Philosophy/The Environment/Rights of Nature           "
142,"Integrating Ethical Frameworks for Animals, Humans, and Nature: A Critical Feminist Eco-Socialist Analysis","Philosophy/The Environment/Rights of Nature           "
143,"The Liberation of Nature?","Philosophy/The Environment/Rights of Nature           "
144,"Marxism and Animal Rights","Philosophy/The Environment/Rights of Nature           "
145,"Saving Nature, Feeding People and Ethics","Philosophy/The Environment/Land Ethics           "
146,"The Emergence of the Land Ethic: Aldo Leopold's Idea of Ultimate Reality and Meaning","Philosophy/The Environment/Land Ethics           "
147,"Beasts Versus the Biosphere?","Philosophy/The Environment/Land Ethics           "
148,"Holists and Fascists and Paper Tigers...Oh My!","Philosophy/The Environment/Land Ethics           "
149,"Practical Ecology and Foundations for Environmental Ethics","Philosophy/The Environment/Land Ethics           "
150,"Intergenerational Justice and Curtailments of the Discretionary Powers of Governments","Philosophy/The Environment/Land Ethics           "
151,"Risks, Costs, and Benefits","Philosophy/The Environment/Rights of Nature           "
152,"Justice and Future Generations","Philosophy/Rights and Justice/Future Generations           "
153,"Intergenerational Justice and Climate Change","Philosophy/Rights and Justice/Intergenerational Justice           "
154,"The Life Principle: A (Metaethical) Rejection","Philosophy/The Environment/Rights of Nature           "
155,"Justice and Equality","Philosophy/The Environment/Rights of Nature           "
156,"Epidemiology and Sociology as Incommensurate Games: Accounts from the Study of Health and Ethnicity","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
157,"Feeding People versus Saving Nature?","Philosophy/The Environment/Rights of Nature           "
158,"Animal Experimentation in Psychology and the Question of Scientific Merit","Philosophy/The Environment/Rights of Nature           "
159,"Obligations to Animals Are Not Necessarily Based on Rights","Philosophy/The Environment/Rights of Nature           "
160,"Should Trees Have Standing? Revisited: How Far Will Law and Morals Reach? A Pluralist Perspective","Philosophy/The Environment/Rights of Nature           "
161,"Friendship and Consequentialism","Philosophy/Rights and Justice/Ethical Theory/Consequentialism           "
162,"The Heart of Consequentialism","Philosophy/Rights and Justice/Ethical Theory/Consequentialism           "
163,"Alienation, Consequentialism and the Demands of Morality","Philosophy/Rights and Justice/Ethical Theory/Consequentialism           "
164,"Operationalising the Collection of Ethnicity Data in Studies of the Sociology of Health and Illness","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
165,"The Object of Life","Philosophy/Rights and Justice/Ethical Theory/Historical Perspectives           "
166,"Morality and Ethics","Philosophy/Rights and Justice/Ethical Theory/Historical Perspectives           "
167,"Transition from Common Rational Moral Cognition to Philosophical Moral Cognition","Philosophy/Rights and Justice/Ethical Theory/Historical Perspectives           "
168,"The Problem of Abortion and the Doctrine of Double Effect","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
169,"Varieties of Virtue Ethics","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
170,"The Schizophrenia of Modern Ethical Theories","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
171,"Killing, Letting Die, and the Trolley Problem","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
172,"Saints and Heroes","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
173,"Moral Saints","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
174,"Motive Utilitarianism","Philosophy/Rights and Justice/Ethical Theory/Utilitarianism           "
175,"Utilitarianism and the Life of Virtue","Philosophy/Rights and Justice/Ethical Theory/Utilitarianism           "
176,"Utilitarianism and the Virtues","Philosophy/Rights and Justice/Ethical Theory/Utilitarianism           "
177,"Classical Utilitarianism","Philosophy/Rights and Justice/Ethical Theory/Utilitarianism           "
178,"Utilitarianism and Welfarism","Philosophy/Rights and Justice/Ethical Theory/Utilitarianism           "
179,"A Critique of Utilitarianism","Philosophy/Rights and Justice/Ethical Theory/Utilitarianism           "
180,"Taking the Words from Their Mouths","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
181,"Let It Be: Heidegger and Future Generations","Philosophy/Rights and Justice/Ethical Theory/Problems for Modern Ethical Theory           "
182,"Sustainable Development and Future Generations","Philosophy/Rights and Justice/Future Generations           "
183,"Future Generations, Natural Resources, and Property Rights","Philosophy/Rights and Justice/Future Generations           "
184,"Can We Harm Future People?","Philosophy/Rights and Justice/Future Generations           "
185,"The Rights of Future People","Philosophy/Rights and Justice/Future Generations           "
186,"Should We Seek a Better Future?","Philosophy/Rights and Justice/Intergenerational Justice           "
187,"Markets, Justice, and the Interests of Future Generations","Philosophy/Rights and Justice/Intergenerational Justice           "
188,"The Rights of Indigenous Peoples and the Development Process","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           /           /Political Science/International Relations/Poverty, Inequality, and Rights/Human Rights"
189,"Last Words","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
190,"Advancing Economic, Social and Cultural Rights: The Way Forward","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           "
191,"Globalizing Human Rights: The Work of Transnational Human Rights NGOs in the 1990s","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           /           /Political Science/International Relations/Poverty, Inequality, and Rights/Human Rights"
192,"The Rise of the Inter-American Human Rights Regime: No Longer a Unicorn, Not Yet an Ox","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           "
193,"Globalizing Democracy and Human Rights","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           "
194,"Recognizing Minority Identities Through Collective Rights","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           "
195,"Poverty and Rights: Social and Economic Rights as Human Rights","Philosophy/Rights and Justice/Human Rights/Contemporary Questions           "
196,"Nonintervention and Human Rights","Philosophy/War/International Intervention/Humanitarian Intervention           "
197,"The World Speaks English","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
198,"Global Justice and the Limits of Human Rights","Philosophy/Rights and Justice/Human Rights/Global Justice           "
199,"International Justice, Human Rights and Neutrality","Philosophy/Rights and Justice/Human Rights/Global Justice           "
200,"The Search for International Human Rights and Justice: Coming to Terms with the New Global Realities","Philosophy/Rights and Justice/Human Rights/Global Justice           "
201,"Cultural Relativism and Universal Human Rights","Philosophy/Rights and Justice/Human Rights/Moral Relativism           "
202,"Are Human Rights Universal? The Relativist Challenge and Related Matters","Philosophy/Rights and Justice/Human Rights/Moral Relativism           "
203,"The Structure of Contractualism","Philosophy/Rights and Justice/Human Rights/Moral Relativism           "
204,"Human Rights as Natural Rights","Philosophy/Rights and Justice/Human Rights/Theory           "
205,"Language and Federalism: The Multi-Ethnic Challenge","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
206,"The Philosophic Foundations of Human Rights","Philosophy/Rights and Justice/Human Rights/Theory           "
207,"The Inheritance of Inequality","Philosophy/Rights and Justice/Intergenerational Justice           "
208,"Intergenerational Inequality: A Sociological Perspective","Philosophy/Rights and Justice/Intergenerational Justice           "
209,"Treating Likes Alike, Intergenerationally and Internationally","Philosophy/Rights and Justice/Intergenerational Justice           /           /Political Science/Public Policy/Social Welfare/Ethics and Equity"
210,"An Egalitarian Law of Peoples","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
211,"Sustainability and Intergenerational Justice","Philosophy/Rights and Justice/Intergenerational Justice           "
212,"The Right to a Green Future: Human Rights, Environmentalism, and Intergenerational Justice","Philosophy/Rights and Justice/Intergenerational Justice           "
213,"Our Rights and Obligations to Future Generations for the Environment","Philosophy/Rights and Justice/Intergenerational Justice           "
214,"Toward a Multicultural Perspective on Rights and Justice: Collective Rights, Rights of Nature and Intergenerational Justice","Philosophy/Rights and Justice/Intergenerational Justice           "
215,"The Rights of Animals and Unborn Generations","Philosophy/Rights and Justice/Intergenerational Justice           "
216,"Intragenerational Versus Intergenerational Mobility in Relation to Sociopolitical Attitudes","Philosophy/Rights and Justice/Intergenerational Justice           "
217,"Temporal Horizons of Justice","Philosophy/Rights and Justice/Intergenerational Justice           "
218,"Sustainable Development and Social Justice","Philosophy/Rights and Justice/Intergenerational Justice           /           /Political Science/Political Theory and Philosophy/Ethics"
219,"What Do We Owe the Next Generation(s)?","Philosophy/Rights and Justice/Future Generations           "
220,"Harming Future People","Philosophy/Rights and Justice/Future Generations           "
221,"Resisting and Reversing Language Shift: Heritage-Language Resilience Among U.S. Native Biliterates","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
222,"The Paradox of Future Individuals","Philosophy/Rights and Justice/Future Generations           "
223,"Utilitarianism and New Generations","Philosophy/Rights and Justice/Future Generations           "
224,"Welfare Judgments and Future Generations","Philosophy/Rights and Justice/Future Generations           "
225,"Can Public Officials Correctly be Said to Have Obligations to Future Generations?","Philosophy/Rights and Justice/Future Generations           "
226,"The Disfranchisement of the Elderly, and Other Attempts to Secure Intergenerational Justice","Philosophy/Rights and Justice/Future Generations           "
227,"Justice Between Generations","Philosophy/Rights and Justice/Future Generations           "
228,"Linguistic Capital: Language as a Socio-Economic Resource Among Kurdish and Arabic Women in Turkey","Sociology/Culture and Society/Ethnicity, Language, and Culture           "
229,"Can Future Generations Correctly be Said to Have Rights?","Philosophy/Rights and Justice/Future Generations           "
230,"On the Rights of Future People","Philosophy/Rights and Justice/Future Generations           "
231,"Justice Between Generations: Compensation, Identity, and Group Membership","Philosophy/Rights and Justice/Future Generations           "
232,"Transgenerational Compensation","Philosophy/Rights and Justice/Future Generations           "
233,"Ancient Wrongs and Modern Rights","Philosophy/Rights and Justice/Intergenerational Justice           "
234,"Negotiating International Cooperation: Global Public Goods and Fairness","Philosophy/Rights and Justice/International Justice/Economic Factors           "
235,"Transnational and International Exploitation","Philosophy/Rights and Justice/International Justice/Economic Factors           "
236,"The Problem of Global Justice","Philosophy/Rights and Justice/International Justice/Economic Factors           /           /Political Science/Political Theory and Philosophy/Ethics"
237,"From Domestic to International Justice: The Welfare State and Foreign Aid","Philosophy/Rights and Justice/International Justice/Economic Factors           /           /Political Science/Political Theory and Philosophy/Ethics/           /Political Science/International Relations/NorthSouth Relations and Politics of Development"
238,"A Global Resources Dividend","Philosophy/Rights and Justice/International Justice/Economic Factors           "
239,"The Pursuit of International Justice: Present Dilemmas and an Imagined Future","Philosophy/Rights and Justice/International Justice/Global Issues           /           /Political Science/Political Theory and Philosophy/Ideology/Liberalism"
240,"Order and Justice in International Relations","Philosophy/Rights and Justice/International Justice/Global Issues           "
241,"International Justice and the Global Environment","Philosophy/Rights and Justice/International Justice/Global Issues           "
242,"Cosmopolitan Justice and Equalizing Opportunities","Philosophy/Rights and Justice/Distributive Justice/Equality and Welfare           "
243,"The Ethics of Intervention in Self-Determination Struggles","Philosophy/Rights and Justice/Human Rights/Global Justice           "
244,"The International Significance of Human Rights","Philosophy/Rights and Justice/Human Rights/Global Justice           "
245,"The Bounds of Nationalism","Philosophy/Rights and Justice/Human Rights/Global Justice           /           /Political Science/Political Theory and Philosophy/Concepts/Nationalism"
246,"The Legitimacy of the International Legal System","Philosophy/Rights and Justice/International Justice/Law           /           /Political Science/Political Theory and Philosophy/Systems, Legitimacy and Law/Rule of Law"
247,"A Philosophy of International Law","Philosophy/Rights and Justice/International Justice/Law           "
